"start_station","station_count"
"San Francisco Caltrain (Townsend at 4th)","23591"
"San Francisco Caltrain 2 (330 Townsend)","22358"
"Harry Bridges Plaza (Ferry Building)","16128"
"2nd at Townsend","14099"
"Steuart at Market","13693"
"Embarcadero at Sansome","13424"
"Temporary Transbay Terminal (Howard at Beale)","13111"
"Townsend at 7th","11170"
"Market at Sansome","10970"
"Market at 10th","9937"
"Embarcadero at Folsom","7820"
"2nd at South Park","7722"
"Embarcadero at Bryant","7714"
"Howard at 2nd","7583"
"2nd at Folsom","7464"
"Beale at Market","7373"
"Market at 4th","7337"
"Powell Street BART","6826"
"Grant Avenue at Columbus Avenue","6735"
"Broadway St at Battery St","5695"
"Mechanics Plaza (Market at Battery)","5613"
"5th at Howard","5436"
"South Van Ness at Market","5398"
"Davis at Jackson","5240"
"Spear at Folsom","5113"
"Civic Center BART (7th at Market)","5043"
"Commercial at Montgomery","4969"
"Embarcadero at Vallejo","4710"
"Powell at Post (Union Square)","4488"
"Clay at Battery","4357"
"Post at Kearny","4348"
"San Jose Diridon Caltrain Station","4035"
"Yerba Buena Center of the Arts (3rd @ Howard)","3460"
"Golden Gate at Polk","3309"
"Washington at Kearny","2844"
"Mountain View Caltrain Station","2515"
"San Francisco City Hall","2195"
"Santa Clara at Almaden","1447"
"Mountain View City Hall","1291"
"San Pedro Square","1215"
"Palo Alto Caltrain Station","1170"
"Castro Street and El Camino Real","1014"
"Japantown","945"
"Ryland Park","879"
"Paseo de San Antonio","833"
"Adobe on Almaden","789"
"Cowper at University","788"
"Redwood City Caltrain Station","695"
"St James Park","694"
"MLK Library","630"
"San Antonio Caltrain Station","611"
"San Antonio Shopping Center","559"
"Arena Green / SAP Center","547"
"San Jose Civic Center","543"
"San Salvador at 1st","540"
"San Jose City Hall","518"
"University and Emerson","490"
"SJSU - San Salvador at 9th","481"
"Stanford in Redwood City","428"
"Santa Clara County Civic Center","420"
"California Ave Caltrain Station","392"
"SJSU 4th at San Carlos","363"
"Charleston Park/ North Bayshore Area","343"
"Park at Olive","276"
"5th St at Folsom St","173"
"Kaiser Hospital","147"
"Mezes","119"
"San Mateo County Center","86"
"S. Market St at Park Ave","84"
"Evelyn Park and Ride","71"
"Cyril Magnin St at Ellis St","69"
"Middlefield Light Rail Station","66"
"Redwood City Public Library","59"
"Rengstorff Avenue / California Street","42"
"5th S at E. San Salvador St","19"
"Sequoia Hospital","15"
"Mezes Park","7"
"Redwood City Medical Center","5"
"Franklin at Maple","2"
"5th St at E. San Salvador St","1"
